	Target node	HUGO names	Interaction type	Source	Description	Reference: PMID	Logical rule
397	RTK	ERBB2, ERBB3, ERBB4, IGF1R, AATK, ALK, AXL, CSF1R, DDR1, DDR2, FLT1, FLT3, FLT4, INSR, INSRR, KDR, KIT, LMTK2, LMTK3, LTK, MERTK, MET, MST1R, MUSK, NTRK1, NTRK2, NTRK3, PDGFRA, PDGFRB, PTK7, RET, ROR1, ROR2, ROS1, RYK, STYK1, TEK, TIE1, TYRO3	+	FGFR3	From Fumia et al, 2013 as GFs	23922675	(EGFR | FGFR3)
398	RUNX2	RUNX2	+	ETS1	Runx2 and Ets1 may co-operatively bind to and activate the Fgfr1 promoter	30202094	(!ETS1 & !FOXO & Slug) | (ETS1 & !FOXO)
399	RUNX2	RUNX2	-	FOXO	FOXO1 targets and inhibits RUNX2	21505104	(!ETS1 & !FOXO & Slug) | (ETS1 & !FOXO)
400	RUNX2	RUNX2	+	p38	Mechanistic analysis revealed that the TAK1–MKK3/6–p38 MAPK axis phosphorylated Runx2, promoting its association with the coactivator CREB-binding protein (CBP), which was required to regulate osteoblast genetic programs. These findings reveal an in vivo function for p38β and establish that MAPK signaling is essential for bone formation in vivo.	20551513	(!ETS1 & !FOXO & Slug) | (ETS1 & !FOXO)
401	RUNX2	RUNX2	+	Slug	Slug binds to RUNX2 and SOC9 promoters and may act as a positive and negative transcription regulator.	Uniprot	(!ETS1 & !FOXO & Slug) | (ETS1 & !FOXO)
402	RUNX2	RUNX2	+	SMAD	The Runx2 WT and deletion constructs all physically interact with the BMP2 responsive Smad 4	15573378	(!ETS1 & !FOXO & Slug) | (ETS1 & !FOXO)
403	SHH	SHH	-	ATR	Ptc1(+/-) mice have a defect in the IR-induced activation of the ATR-Chk1 checkpoint signaling pathway	22266795, 18955550	(!BMP2 & !ATR)
404	SHH	SHH	-	BMP2	On the other hand, bmp activity negatively regulates shh transcription and a bmp-shh negative-feedback loop serves to confine shh expression during limb development.	19855020, doi: 10.1242/dev.036418, 25605783	(!BMP2 & !ATR)
405	Slug	SNAI2	-	DAXX	From Fumia et al, 2013	23922675	((TCF | NF_kB) & !DAXX & !p53 & !MDM2)
406	Slug	SNAI2	-	MDM2	From Fumia et al, 2013	23922675	((TCF | NF_kB) & !DAXX & !p53 & !MDM2)
407	Slug	SNAI2	+	NF_kB	From Fumia et al, 2013	23922675	((TCF | NF_kB) & !DAXX & !p53 & !MDM2)
408	Slug	SNAI2	-	p53	From Fumia et al, 2013	23922675	((TCF | NF_kB) & !DAXX & !p53 & !MDM2)
409	Slug	SNAI2	+	TCF	From Fumia et al, 2013	23922675	((TCF | NF_kB) & !DAXX & !p53 & !MDM2)
410	SMAD	SMAD2, SMAD3, SMAD4	-	AR	In the human prostate adenocarcinoma cell line, LNCaP, Ligand-bound AR inhibits TGF-beta transcriptional responses through selectively repressing the binding of SMAD to SBE.	11707452	((TNFalpha | TGFBR) & !AR)
411	SMAD	SMAD2, SMAD3, SMAD4	+	TGFBR	From Fumia et al, 2013	23922675	((TNFalpha | TGFBR) & !AR)
412	SMAD	SMAD2, SMAD3, SMAD4	+	TNFalpha	From Fumia et al, 2013	23922675	((TNFalpha | TGFBR) & !AR)
413	SMO	SMO	-	PTCH1	In the responding cell, active Hedgehog binds to its receptor Patched, a 12-pass transmembrane protein, which frees Smoothened, an adjacent 7-pass transmembrane protein, for downstream signaling.Thus, a balance is created by the antagonism of Hedgehog and Patched, whose relative concentrations alternate with respect to each other.	14556242, 26891329	(!PTCH1 & SHH)
414	SMO	SMO	+	SHH	Binding of Hh to Ptch relieves the repression of Smo, allowing Smo to signal.	16885213	(!PTCH1 & SHH)
415	Snail	SNAI1	-	beta_catenin	From Cohen et al, 2015	26528548	((GLI | NF_kB | SMAD | beta_catenin) & !GSK3 & !p53)
416	Snail	SNAI1	+	GLI	The Hedgehog pathway transcription factor Gli1 induces transformation of epithelial cells via induction of Snail, a repressor of E-cadherin (E-cad). 	1729746	((GLI | NF_kB | SMAD | beta_catenin) & !GSK3 & !p53)
417	Snail	SNAI1	-	GSK3	From Fumia et al, 2013	23922675	((GLI | NF_kB | SMAD | beta_catenin) & !GSK3 & !p53)
418	Snail	SNAI1	+	NF_kB	From Fumia et al, 2013	23922675	((GLI | NF_kB | SMAD | beta_catenin) & !GSK3 & !p53)
419	Snail	SNAI1	+	SMAD	From Fumia et al, 2013	23922675	((GLI | NF_kB | SMAD | beta_catenin) & !GSK3 & !p53)
420	SPOP	SPOP	input	0/1	Input of the model		(SPOP)
421	TAK1	MAP3K7	+	TGFBR	From Fumia et al, 2013	23922675	(TGFBR | TNFalpha)
422	TAK1	MAP3K7	+	TNFalpha	From Fumia et al, 2013	23922675	(TGFBR | TNFalpha)
423	TCF	TCF4, TCF7, TCF7L1, TCF7L2	+	AR_ERG	LEF1 expression is significantly upregulated in ERG-high human prostate cancers.	23913826	((beta_catenin | AR_ERG | ERG) & !TAK1)
424	TCF	TCF4, TCF7, TCF7L1, TCF7L2	+	beta_catenin	From Fumia et al, 2013	23922675	((beta_catenin | AR_ERG | ERG) & !TAK1)
425	TCF	TCF4, TCF7, TCF7L1, TCF7L2	+	ERG	LEF1 expression is significantly upregulated in ERG-high human prostate cancers.	23913826	((beta_catenin | AR_ERG | ERG) & !TAK1)
426	TCF	TCF4, TCF7, TCF7L1, TCF7L2	-	TAK1	From Fumia et al, 2013	23922675	((beta_catenin | AR_ERG | ERG) & !TAK1)
427	TERT	TERT	+	AKT	From Fumia et al, 2013	23922675	((GLI | AKT | HIF1 | MYC_MAX | NF1 | NF_kB | MYC_MAX) & !ZBTB17 & !p53 & !eEF2 & !SMAD)
428	TERT	TERT	-	eEF2	From Fumia et al, 2013	23922675	((GLI | AKT | HIF1 | MYC_MAX | NF1 | NF_kB | MYC_MAX) & !ZBTB17 & !p53 & !eEF2 & !SMAD)
429	TERT	TERT	+	GLI	Recently, it has been shown that GLI1 and GLI2 drive human TERT in colon and prostate cancers	27000000	((GLI | AKT | HIF1 | MYC_MAX | NF1 | NF_kB | MYC_MAX) & !ZBTB17 & !p53 & !eEF2 & !SMAD)
430	TERT	TERT	+	HIF1	From Fumia et al, 2013	23922675	((GLI | AKT | HIF1 | MYC_MAX | NF1 | NF_kB | MYC_MAX) & !ZBTB17 & !p53 & !eEF2 & !SMAD)
431	TERT	TERT	+	MYC_MAX	From Fumia et al, 2013	23922675	((GLI | AKT | HIF1 | MYC_MAX | NF1 | NF_kB | MYC_MAX) & !ZBTB17 & !p53 & !eEF2 & !SMAD)
432	TERT	TERT	+	NF_kB	From Fumia et al, 2013	23922675	((GLI | AKT | HIF1 | MYC_MAX | NF1 | NF_kB | MYC_MAX) & !ZBTB17 & !p53 & !eEF2 & !SMAD)
433	TERT	TERT	+	NF1	From Fumia et al, 2013	23922675	((GLI | AKT | HIF1 | MYC_MAX | NF1 | NF_kB | MYC_MAX) & !ZBTB17 & !p53 & !eEF2 & !SMAD)
434	TERT	TERT	-	p53	From Fumia et al, 2013	23922675	((GLI | AKT | HIF1 | MYC_MAX | NF1 | NF_kB | MYC_MAX) & !ZBTB17 & !p53 & !eEF2 & !SMAD)
435	TERT	TERT	-	SMAD	From Fumia et al, 2013	23922675	((GLI | AKT | HIF1 | MYC_MAX | NF1 | NF_kB | MYC_MAX) & !ZBTB17 & !p53 & !eEF2 & !SMAD)
436	TERT	TERT	-	ZBTB17	From Fumia et al, 2013	23922675	((GLI | AKT | HIF1 | MYC_MAX | NF1 | NF_kB | MYC_MAX) & !ZBTB17 & !p53 & !eEF2 & !SMAD)
437	TGFb	TGFB1, TGFB2, TGFB3	input	0/1	Input of the model		(TGFb)
438	TGFBR	TGFBR1, TGFBR2, TGFBR3	+	HIF1	From Fumia et al, 2013	23922675	((TGFb | (HIF1 & TGFb)) & !MED12)
439	TGFBR	TGFBR1, TGFBR2, TGFBR3	-	MED12	MED12 is in part cytoplasmic where it negatively regulates TGF-βR2 through physical interaction	23178117	((TGFb | (HIF1 & TGFb)) & !MED12)
440	TGFBR	TGFBR1, TGFBR2, TGFBR3	+	TGFb	From Fumia et al, 2013	23922675	((TGFb | (HIF1 & TGFb)) & !MED12)
441	TNFalpha	EDAR, TNFRSF1A, TNFRSF1B, LTBR, TNFRSF4, CD40, FAS, TNFRSF6B, CD27, TNFRSF8, TNFRSF9, TNFRSF10A, TNFRSF10B, TNFRSF10C, TNFRSF10D, TNFRSF11A, TNFRSF11B, TNFRSF12A, TNFRSF13B, TNFRSF13C, TNFRSF14, NGFR, TNFRSF17, TNFRSF18, TNFRSF19, RELT, TNFRSF21, TNFRSF25, EDA2R	input	0/1	Input of the model		(TNFalpha)
442	TSC1_2	TSC1, TSC2	-	AKT	From Fumia et al, 2013	23922675	((AMPK | p53 | HIF1) & !AKT & !ERK & !RAF & !p90RSK)
443	TSC1_2	TSC1, TSC2	+	AMPK	From Fumia et al, 2013	23922675	((AMPK | p53 | HIF1) & !AKT & !ERK & !RAF & !p90RSK)
444	TSC1_2	TSC1, TSC2	-	ERK	From Fumia et al, 2013	23922675	((AMPK | p53 | HIF1) & !AKT & !ERK & !RAF & !p90RSK)
445	TSC1_2	TSC1, TSC2	+	HIF1	From Fumia et al, 2013	23922675	((AMPK | p53 | HIF1) & !AKT & !ERK & !RAF & !p90RSK)
446	TSC1_2	TSC1, TSC2	+	p53	From Fumia et al, 2013	23922675	((AMPK | p53 | HIF1) & !AKT & !ERK & !RAF & !p90RSK)
447	TSC1_2	TSC1, TSC2	-	p90RSK	From Fumia et al, 2013	23922675	((AMPK | p53 | HIF1) & !AKT & !ERK & !RAF & !p90RSK)
448	TSC1_2	TSC1, TSC2	-	RAF	From Fumia et al, 2013	23922675	((AMPK | p53 | HIF1) & !AKT & !ERK & !RAF & !p90RSK)
449	TWIST1	TWIST1	+	beta_catenin	From Cohen et al, 2015	26528548	(Snail | beta_catenin)
450	TWIST1	TWIST1	+	Snail	From Cohen et al, 2015	26528548	(Snail | beta_catenin)
451	VEGF	VEGFA, VEGFB, VEGFC, VEGFD	+	HIF1	From Fumia et al, 2013	23922675	(HIF1 & MYC_MAX)
452	VEGF	VEGFA, VEGFB, VEGFC, VEGFD	+	MYC_MAX	From Fumia et al, 2013	23922675	(HIF1 & MYC_MAX)
453	VHL	VHL	-	Hypoxia	From Fumia et al, 2013	23922675	(!Hypoxia & !ROS)
454	VHL	VHL	-	ROS	From Fumia et al, 2013	23922675	(!Hypoxia & !ROS)
455	WNT	WNT1, WNT2, WNT2B, WNT3, WNT3A, WNT4, WNT5A, WNT5B, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT9A, WNT9B, WNT10A, WNT10B, WNT11, WNT16	+	AR_ERG	ERG overexpression and nuclear translocation activates the activity of Wnt signaling. 	21680704	((((ERG | AR_ERG) & GLI) | ERG | AR_ERG) & !p53)
456	WNT	WNT1, WNT2, WNT2B, WNT3, WNT3A, WNT4, WNT5A, WNT5B, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT9A, WNT9B, WNT10A, WNT10B, WNT11, WNT16	+	ERG	ERG overexpression and nuclear translocation activates the activity of Wnt signaling. 	21680704	((((ERG | AR_ERG) & GLI) | ERG | AR_ERG) & !p53)
457	WNT	WNT1, WNT2, WNT2B, WNT3, WNT3A, WNT4, WNT5A, WNT5B, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT9A, WNT9B, WNT10A, WNT10B, WNT11, WNT16	+	GLI	From Fumia et al, 2013	23922675	((((ERG | AR_ERG) & GLI) | ERG | AR_ERG) & !p53)
458	WNT	WNT1, WNT2, WNT2B, WNT3, WNT3A, WNT4, WNT5A, WNT5B, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT9A, WNT9B, WNT10A, WNT10B, WNT11, WNT16	-	p53	From Fumia et al, 2013	23922675	((((ERG | AR_ERG) & GLI) | ERG | AR_ERG) & !p53)
459	YWHAZ	YWHAZ	+	AR	YWHAZ is under the transcriptional regulation of androgen receptor	22904106	(AR)
460	ZBTB17	ZBTB17	+	AR	From Fumia et al, 2013	23922675	(!MYC_MAX & AR)
461	ZBTB17	ZBTB17	-	MYC_MAX	From Fumia et al, 2013 as MYC	23922675	(!MYC_MAX & AR)
